Date,Value,type,state
197806,58.1,temperature,Oregon
197807,64.8,temperature,Oregon
197808,63.1,temperature,Oregon
197809,55.2,temperature,Oregon
197810,50.0,temperature,Oregon
197811,33.4,temperature,Oregon
197812,27.1,temperature,Oregon
197901,22.0,temperature,Oregon
197902,33.8,temperature,Oregon
197903,40.8,temperature,Oregon
197904,43.4,temperature,Oregon
197905,52.2,temperature,Oregon
197906,58.4,temperature,Oregon
197907,65.6,temperature,Oregon
197908,63.7,temperature,Oregon
197909,61.0,temperature,Oregon
197910,51.4,temperature,Oregon
197911,35.1,temperature,Oregon
197912,35.8,temperature,Oregon
198001,30.0,temperature,Oregon
198002,37.8,temperature,Oregon
198003,37.5,temperature,Oregon
198004,45.9,temperature,Oregon
198005,50.3,temperature,Oregon
198006,54.1,temperature,Oregon
198007,65.1,temperature,Oregon
198008,61.1,temperature,Oregon
198009,58.5,temperature,Oregon
198010,48.9,temperature,Oregon
198011,39.6,temperature,Oregon
198012,35.7,temperature,Oregon
198101,35.7,temperature,Oregon
198102,35.9,temperature,Oregon
198103,40.0,temperature,Oregon
198104,45.0,temperature,Oregon
198105,49.8,temperature,Oregon
198106,56.7,temperature,Oregon
198107,63.2,temperature,Oregon
198108,67.0,temperature,Oregon
198109,58.7,temperature,Oregon
198110,46.1,temperature,Oregon
198111,40.1,temperature,Oregon
198112,35.5,temperature,Oregon
198201,29.2,temperature,Oregon
198202,33.0,temperature,Oregon
198203,37.6,temperature,Oregon
198204,40.3,temperature,Oregon
198205,49.6,temperature,Oregon
198206,58.7,temperature,Oregon
198207,63.1,temperature,Oregon
198208,64.6,temperature,Oregon
198209,55.9,temperature,Oregon
198210,47.1,temperature,Oregon
198211,34.4,temperature,Oregon
198212,31.7,temperature,Oregon
198301,35.8,temperature,Oregon
198302,38.3,temperature,Oregon
198303,41.0,temperature,Oregon
198304,41.8,temperature,Oregon
198305,51.9,temperature,Oregon
198306,55.8,temperature,Oregon
198307,61.2,temperature,Oregon
198308,65.3,temperature,Oregon
198309,55.8,temperature,Oregon
198310,49.0,temperature,Oregon
198311,39.5,temperature,Oregon
198312,27.9,temperature,Oregon
198401,30.6,temperature,Oregon
198402,34.4,temperature,Oregon
198403,40.7,temperature,Oregon
198404,41.4,temperature,Oregon
198405,49.6,temperature,Oregon
198406,54.7,temperature,Oregon
198407,65.8,temperature,Oregon
198408,65.2,temperature,Oregon
198409,56.2,temperature,Oregon
198410,44.2,temperature,Oregon
198411,37.2,temperature,Oregon
198412,27.7,temperature,Oregon
198501,27.3,temperature,Oregon
198502,30.5,temperature,Oregon
198503,35.6,temperature,Oregon
198504,47.1,temperature,Oregon
198505,51.3,temperature,Oregon
198506,59.4,temperature,Oregon
198507,69.2,temperature,Oregon
198508,62.2,temperature,Oregon
198509,52.1,temperature,Oregon
198510,45.8,temperature,Oregon
198511,28.5,temperature,Oregon
198512,25.9,temperature,Oregon
198601,35.6,temperature,Oregon
198602,37.6,temperature,Oregon
198603,43.9,temperature,Oregon
198604,43.1,temperature,Oregon
198605,51.3,temperature,Oregon
198606,62.4,temperature,Oregon
198607,61.2,temperature,Oregon
198608,68.3,temperature,Oregon
198609,52.6,temperature,Oregon
198610,49.6,temperature,Oregon
198611,39.5,temperature,Oregon
198612,32.4,temperature,Oregon
198701,29.8,temperature,Oregon
198702,36.2,temperature,Oregon
198703,40.1,temperature,Oregon
198704,49.2,temperature,Oregon
198705,54.0,temperature,Oregon
198706,61.0,temperature,Oregon
198707,61.8,temperature,Oregon
198708,64.4,temperature,Oregon
198709,60.6,temperature,Oregon
198710,52.9,temperature,Oregon
198711,39.2,temperature,Oregon
198712,31.0,temperature,Oregon
198801,30.0,temperature,Oregon
198802,37.5,temperature,Oregon
198803,39.5,temperature,Oregon
198804,46.2,temperature,Oregon
198805,50.1,temperature,Oregon
198806,58.4,temperature,Oregon
198807,66.3,temperature,Oregon
198808,64.4,temperature,Oregon
198809,58.1,temperature,Oregon
198810,55.4,temperature,Oregon
198811,37.8,temperature,Oregon
198812,31.4,temperature,Oregon
198901,30.4,temperature,Oregon
198902,25.8,temperature,Oregon
198903,38.8,temperature,Oregon
198904,48.2,temperature,Oregon
198905,49.8,temperature,Oregon
198906,59.6,temperature,Oregon
198907,64.0,temperature,Oregon
198908,61.6,temperature,Oregon
198909,58.2,temperature,Oregon
198910,47.4,temperature,Oregon
198911,39.9,temperature,Oregon
198912,34.6,temperature,Oregon
199001,34.2,temperature,Oregon
199002,32.6,temperature,Oregon
199003,41.0,temperature,Oregon
199004,49.2,temperature,Oregon
199005,48.9,temperature,Oregon
199006,57.9,temperature,Oregon
199007,67.4,temperature,Oregon
199008,65.3,temperature,Oregon
199009,62.4,temperature,Oregon
199010,46.7,temperature,Oregon
199011,38.9,temperature,Oregon
199012,24.4,temperature,Oregon
199101,31.6,temperature,Oregon
199102,41.6,temperature,Oregon
199103,37.0,temperature,Oregon
199104,42.2,temperature,Oregon
199105,47.3,temperature,Oregon
199106,53.9,temperature,Oregon
199107,66.3,temperature,Oregon
199108,66.5,temperature,Oregon
199109,61.6,temperature,Oregon
199110,50.0,temperature,Oregon
199111,39.0,temperature,Oregon
199112,34.3,temperature,Oregon
199201,35.0,temperature,Oregon
199202,40.9,temperature,Oregon
199203,44.6,temperature,Oregon
199204,48.1,temperature,Oregon
199205,57.8,temperature,Oregon
199206,61.8,temperature,Oregon
199207,64.4,temperature,Oregon
199208,66.5,temperature,Oregon
199209,57.9,temperature,Oregon
199210,50.6,temperature,Oregon
199211,36.8,temperature,Oregon
199212,28.8,temperature,Oregon
199301,26.2,temperature,Oregon
199302,29.4,temperature,Oregon
199303,40.9,temperature,Oregon
199304,43.2,temperature,Oregon
199305,54.5,temperature,Oregon
199306,55.4,temperature,Oregon
199307,57.6,temperature,Oregon
199308,61.8,temperature,Oregon
199309,59.1,temperature,Oregon
199310,50.6,temperature,Oregon
199311,33.6,temperature,Oregon
199312,33.3,temperature,Oregon
199401,36.5,temperature,Oregon
199402,33.1,temperature,Oregon
199403,42.3,temperature,Oregon
199404,46.6,temperature,Oregon
199405,53.4,temperature,Oregon
199406,57.6,temperature,Oregon
199407,68.1,temperature,Oregon
199408,65.4,temperature,Oregon
199409,61.3,temperature,Oregon
199410,46.9,temperature,Oregon
199411,31.7,temperature,Oregon
199412,31.3,temperature,Oregon
199501,35.1,temperature,Oregon
199502,40.9,temperature,Oregon
199503,38.9,temperature,Oregon
199504,42.6,temperature,Oregon
199505,51.6,temperature,Oregon
199506,56.2,temperature,Oregon
199507,64.5,temperature,Oregon
199508,62.0,temperature,Oregon
199509,60.6,temperature,Oregon
199510,47.0,temperature,Oregon
199511,43.3,temperature,Oregon
199512,34.2,temperature,Oregon
199601,33.2,temperature,Oregon
199602,35.1,temperature,Oregon
199603,40.6,temperature,Oregon
199604,45.3,temperature,Oregon
199605,48.3,temperature,Oregon
199606,57.8,temperature,Oregon
199607,68.2,temperature,Oregon
199608,66.0,temperature,Oregon
199609,55.9,temperature,Oregon
199610,47.7,temperature,Oregon
199611,39.6,temperature,Oregon
199612,34.0,temperature,Oregon
199701,32.7,temperature,Oregon
199702,35.1,temperature,Oregon
199703,40.7,temperature,Oregon
199704,43.0,temperature,Oregon
199705,55.7,temperature,Oregon
199706,56.6,temperature,Oregon
199707,64.0,temperature,Oregon
199708,66.2,temperature,Oregon
199709,59.1,temperature,Oregon
199710,46.9,temperature,Oregon
199711,40.8,temperature,Oregon
199712,32.3,temperature,Oregon
199801,35.4,temperature,Oregon
199802,35.8,temperature,Oregon
199803,39.9,temperature,Oregon
199804,44.2,temperature,Oregon
199805,48.1,temperature,Oregon
199806,56.6,temperature,Oregon
199807,68.8,temperature,Oregon
199808,67.5,temperature,Oregon
199809,62.0,temperature,Oregon
199810,46.8,temperature,Oregon
199811,38.5,temperature,Oregon
199812,30.1,temperature,Oregon
199901,34.5,temperature,Oregon
199902,33.3,temperature,Oregon
199903,37.4,temperature,Oregon
199904,42.0,temperature,Oregon
199905,48.1,temperature,Oregon
199906,56.3,temperature,Oregon
199907,63.5,temperature,Oregon
199908,64.9,temperature,Oregon
199909,58.6,temperature,Oregon
199910,50.3,temperature,Oregon
199911,43.1,temperature,Oregon
199912,34.3,temperature,Oregon
200001,32.4,temperature,Oregon
200002,37.3,temperature,Oregon
200003,38.6,temperature,Oregon
200004,47.8,temperature,Oregon
200005,51.2,temperature,Oregon
200006,60.2,temperature,Oregon
200007,64.7,temperature,Oregon
200008,65.4,temperature,Oregon
200009,57.2,temperature,Oregon
200010,47.5,temperature,Oregon
200011,33.8,temperature,Oregon
200012,33.5,temperature,Oregon
200101,32.1,temperature,Oregon
200102,33.1,temperature,Oregon
200103,41.3,temperature,Oregon
200104,41.8,temperature,Oregon
200105,55.0,temperature,Oregon
200106,56.5,temperature,Oregon
200107,64.4,temperature,Oregon
200108,67.6,temperature,Oregon
200109,60.8,temperature,Oregon
200110,49.0,temperature,Oregon
200111,40.0,temperature,Oregon
200112,31.8,temperature,Oregon
200201,31.8,temperature,Oregon
200202,35.4,temperature,Oregon
200203,37.0,temperature,Oregon
200204,45.0,temperature,Oregon
200205,50.2,temperature,Oregon
200206,59.9,temperature,Oregon
200207,68.6,temperature,Oregon
200208,63.2,temperature,Oregon
200209,58.8,temperature,Oregon
200210,46.5,temperature,Oregon
200211,40.7,temperature,Oregon
200212,35.4,temperature,Oregon
200301,39.0,temperature,Oregon
200302,35.0,temperature,Oregon
200303,41.5,temperature,Oregon
200304,41.8,temperature,Oregon
200305,51.2,temperature,Oregon
200306,61.2,temperature,Oregon
200307,70.1,temperature,Oregon
200308,66.6,temperature,Oregon
200309,61.0,temperature,Oregon
200310,52.1,temperature,Oregon
200311,34.9,temperature,Oregon
200312,34.1,temperature,Oregon
200401,32.0,temperature,Oregon
200402,34.8,temperature,Oregon
200403,44.2,temperature,Oregon
200404,47.2,temperature,Oregon
200405,51.0,temperature,Oregon
200406,59.5,temperature,Oregon
200407,67.7,temperature,Oregon
200408,66.6,temperature,Oregon
200409,56.3,temperature,Oregon
200410,48.3,temperature,Oregon
200411,38.3,temperature,Oregon
200412,35.5,temperature,Oregon
200501,33.8,temperature,Oregon
200502,36.6,temperature,Oregon
200503,42.3,temperature,Oregon
200504,44.0,temperature,Oregon
200505,52.1,temperature,Oregon
200506,55.0,temperature,Oregon
200507,67.4,temperature,Oregon
200508,66.9,temperature,Oregon
200509,56.3,temperature,Oregon
200510,48.9,temperature,Oregon
200511,37.5,temperature,Oregon
200512,31.7,temperature,Oregon
200601,35.0,temperature,Oregon
200602,33.8,temperature,Oregon
200603,36.4,temperature,Oregon
200604,44.6,temperature,Oregon
200605,53.2,temperature,Oregon
200606,60.9,temperature,Oregon
200607,69.3,temperature,Oregon
200608,64.3,temperature,Oregon
200609,59.1,temperature,Oregon
200610,47.6,temperature,Oregon
200611,38.3,temperature,Oregon
200612,32.9,temperature,Oregon
200701,30.2,temperature,Oregon
200702,36.5,temperature,Oregon
200703,43.5,temperature,Oregon
200704,44.7,temperature,Oregon
200705,53.1,temperature,Oregon
200706,58.6,temperature,Oregon
200707,69.6,temperature,Oregon
200708,64.8,temperature,Oregon
200709,56.6,temperature,Oregon
200710,46.2,temperature,Oregon
200711,39.1,temperature,Oregon
200712,30.5,temperature,Oregon
200801,28.5,temperature,Oregon
200802,35.8,temperature,Oregon
200803,36.5,temperature,Oregon
200804,40.3,temperature,Oregon
200805,51.6,temperature,Oregon
200806,56.6,temperature,Oregon
200807,66.3,temperature,Oregon
200808,65.2,temperature,Oregon
200809,59.4,temperature,Oregon
200810,48.8,temperature,Oregon
200811,42.4,temperature,Oregon
200812,30.2,temperature,Oregon
200901,34.2,temperature,Oregon
200902,35.0,temperature,Oregon
200903,36.4,temperature,Oregon
200904,43.4,temperature,Oregon
200905,53.2,temperature,Oregon
200906,58.4,temperature,Oregon
200907,68.0,temperature,Oregon
200908,65.3,temperature,Oregon
200909,61.4,temperature,Oregon
200910,45.1,temperature,Oregon
200911,38.2,temperature,Oregon
200912,28.5,temperature,Oregon
201001,36.9,temperature,Oregon
201002,37.6,temperature,Oregon
201003,39.5,temperature,Oregon
201004,42.0,temperature,Oregon
201005,46.4,temperature,Oregon
201006,55.6,temperature,Oregon
201007,65.3,temperature,Oregon
201008,63.5,temperature,Oregon
201009,58.5,temperature,Oregon
201010,50.0,temperature,Oregon
201011,36.7,temperature,Oregon
201012,33.4,temperature,Oregon
201101,33.9,temperature,Oregon
201102,32.6,temperature,Oregon
201103,37.9,temperature,Oregon
201104,39.5,temperature,Oregon
201105,46.5,temperature,Oregon
201106,54.9,temperature,Oregon
201107,62.7,temperature,Oregon
201108,66.1,temperature,Oregon
201109,62.6,temperature,Oregon
201110,49.0,temperature,Oregon
201111,37.0,temperature,Oregon
201112,32.6,temperature,Oregon
201201,34.4,temperature,Oregon
201202,34.6,temperature,Oregon
201203,38.3,temperature,Oregon
201204,45.9,temperature,Oregon
201205,50.8,temperature,Oregon
201206,55.5,temperature,Oregon
201207,66.3,temperature,Oregon
201208,67.7,temperature,Oregon
201209,61.8,temperature,Oregon
201210,48.8,temperature,Oregon
201211,40.6,temperature,Oregon
201212,31.5,temperature,Oregon
201301,29.7,temperature,Oregon
201302,35.1,temperature,Oregon
201303,40.9,temperature,Oregon
201304,44.6,temperature,Oregon
201305,52.5,temperature,Oregon
201306,59.4,temperature,Oregon
201307,69.4,temperature,Oregon
201308,66.5,temperature,Oregon
201309,58.3,temperature,Oregon
201310,46.2,temperature,Oregon
201311,39.4,temperature,Oregon
201312,29.7,temperature,Oregon
201401,36.7,temperature,Oregon
201402,35.3,temperature,Oregon
201403,41.8,temperature,Oregon
201404,45.8,temperature,Oregon
201405,53.3,temperature,Oregon
201406,58.1,temperature,Oregon
201407,70.0,temperature,Oregon
201408,66.6,temperature,Oregon
201409,60.8,temperature,Oregon
201410,52.9,temperature,Oregon
201411,38.2,temperature,Oregon
201412,36.0,temperature,Oregon
201501,38.1,temperature,Oregon
201502,41.7,temperature,Oregon
201503,45.7,temperature,Oregon
201504,44.7,temperature,Oregon
201505,53.5,temperature,Oregon
201506,65.6,temperature,Oregon
201507,67.5,temperature,Oregon
201508,66.9,temperature,Oregon
201509,58.1,temperature,Oregon
201510,54.3,temperature,Oregon
201511,35.8,temperature,Oregon
201512,32.4,temperature,Oregon
201601,33.1,temperature,Oregon
201602,40.2,temperature,Oregon
201603,41.2,temperature,Oregon
201604,50.1,temperature,Oregon
201605,53.2,temperature,Oregon
201606,60.5,temperature,Oregon
201607,64.4,temperature,Oregon
201608,66.7,temperature,Oregon
201609,57.1,temperature,Oregon
201610,48.1,temperature,Oregon
201611,43.2,temperature,Oregon
201612,27.4,temperature,Oregon
201701,26.7,temperature,Oregon
201702,34.8,temperature,Oregon
201703,41.6,temperature,Oregon
201704,42.9,temperature,Oregon
201705,52.9,temperature,Oregon
201706,59.9,temperature,Oregon
201707,69.2,temperature,Oregon
201708,69.6,temperature,Oregon
201709,59.6,temperature,Oregon
201710,47.0,temperature,Oregon
201711,39.3,temperature,Oregon
201712,32.9,temperature,Oregon
201801,37.5,temperature,Oregon
201802,33.2,temperature,Oregon
201803,38.4,temperature,Oregon
201804,45.0,temperature,Oregon
201805,55.4,temperature,Oregon
201806,58.5,temperature,Oregon
201807,69.0,temperature,Oregon
201808,66.5,temperature,Oregon
201809,57.4,temperature,Oregon
201810,48.8,temperature,Oregon
201811,39.3,temperature,Oregon
201812,32.3,temperature,Oregon
201901,35.3,temperature,Oregon
201902,28.8,temperature,Oregon
201903,37.3,temperature,Oregon
201904,46.1,temperature,Oregon
201905,52.7,temperature,Oregon
201906,59.0,temperature,Oregon
201907,64.9,temperature,Oregon
201908,67.1,temperature,Oregon
201909,56.6,temperature,Oregon
201910,43.2,temperature,Oregon
201911,40.5,temperature,Oregon
201912,34.2,temperature,Oregon
202001,34.9,temperature,Oregon
202002,35.8,temperature,Oregon
202003,38.8,temperature,Oregon
202004,46.3,temperature,Oregon
202005,52.6,temperature,Oregon
202006,57.9,temperature,Oregon
202007,66.0,temperature,Oregon
202008,67.2,temperature,Oregon
202009,62.6,temperature,Oregon
202010,51.3,temperature,Oregon
202011,38.3,temperature,Oregon
202012,34.2,temperature,Oregon
202101,34.8,temperature,Oregon
202102,33.6,temperature,Oregon
202103,39.0,temperature,Oregon
202104,46.6,temperature,Oregon
202105,52.0,temperature,Oregon
202106,65.2,temperature,Oregon
202107,71.4,temperature,Oregon
202108,66.4,temperature,Oregon
202109,59.4,temperature,Oregon
202110,47.6,temperature,Oregon
202111,41.9,temperature,Oregon
202112,32.4,temperature,Oregon
202201,34.8,temperature,Oregon
197001,2.33,precipitation,North Carolina
197002,3.66,precipitation,North Carolina
197003,3.95,precipitation,North Carolina
197004,3.36,precipitation,North Carolina
197005,2.77,precipitation,North Carolina
197006,3.36,precipitation,North Carolina
197007,6.05,precipitation,North Carolina
197008,6.29,precipitation,North Carolina
197009,2.38,precipitation,North Carolina
197010,4.65,precipitation,North Carolina
197011,2.37,precipitation,North Carolina
197012,2.64,precipitation,North Carolina
197101,4.27,precipitation,North Carolina
197102,4.98,precipitation,North Carolina
197103,4.95,precipitation,North Carolina
197104,3.12,precipitation,North Carolina
197105,5.26,precipitation,North Carolina
197106,3.56,precipitation,North Carolina
197107,6.25,precipitation,North Carolina
197108,6.02,precipitation,North Carolina
197109,4.48,precipitation,North Carolina
197110,8.73,precipitation,North Carolina
197111,2.52,precipitation,North Carolina
197112,2.27,precipitation,North Carolina
197201,4.27,precipitation,North Carolina
197202,4.36,precipitation,North Carolina
197203,3.47,precipitation,North Carolina
197204,2.49,precipitation,North Carolina
197205,6.19,precipitation,North Carolina
197206,5.15,precipitation,North Carolina
197207,5.49,precipitation,North Carolina
197208,3.20,precipitation,North Carolina
197209,4.53,precipitation,North Carolina
197210,3.75,precipitation,North Carolina
197211,5.53,precipitation,North Carolina
197212,4.96,precipitation,North Carolina
197301,3.81,precipitation,North Carolina
197302,4.68,precipitation,North Carolina
197303,5.65,precipitation,North Carolina
197304,5.56,precipitation,North Carolina
197305,4.87,precipitation,North Carolina
197306,5.72,precipitation,North Carolina
197307,4.19,precipitation,North Carolina
197308,4.78,precipitation,North Carolina
197309,2.48,precipitation,North Carolina
197310,1.86,precipitation,North Carolina
197311,1.64,precipitation,North Carolina
197312,7.05,precipitation,North Carolina
197401,4.58,precipitation,North Carolina
197402,4.24,precipitation,North Carolina
197403,4.15,precipitation,North Carolina
197404,3.60,precipitation,North Carolina
197405,6.38,precipitation,North Carolina
197406,4.20,precipitation,North Carolina
197407,4.07,precipitation,North Carolina
197408,7.75,precipitation,North Carolina
197409,4.81,precipitation,North Carolina
197410,1.45,precipitation,North Carolina
197411,2.49,precipitation,North Carolina
197412,4.56,precipitation,North Carolina
197501,5.61,precipitation,North Carolina
197502,4.48,precipitation,North Carolina
197503,7.16,precipitation,North Carolina
197504,2.49,precipitation,North Carolina
197505,5.69,precipitation,North Carolina
197506,3.29,precipitation,North Carolina
197507,8.20,precipitation,North Carolina
197508,2.55,precipitation,North Carolina
197509,7.89,precipitation,North Carolina
197510,3.19,precipitation,North Carolina
197511,2.73,precipitation,North Carolina
197512,4.26,precipitation,North Carolina
197601,3.71,precipitation,North Carolina
197602,1.73,precipitation,North Carolina
197603,3.33,precipitation,North Carolina
197604,0.73,precipitation,North Carolina
197605,6.04,precipitation,North Carolina
197606,5.99,precipitation,North Carolina
197607,3.50,precipitation,North Carolina
197608,3.72,precipitation,North Carolina
197609,4.25,precipitation,North Carolina
197610,5.63,precipitation,North Carolina
197611,2.64,precipitation,North Carolina
197612,4.68,precipitation,North Carolina
197701,3.03,precipitation,North Carolina
197702,1.73,precipitation,North Carolina
197703,5.97,precipitation,North Carolina
197704,2.78,precipitation,North Carolina
197705,4.01,precipitation,North Carolina
197706,3.66,precipitation,North Carolina
197707,2.52,precipitation,North Carolina
197708,4.97,precipitation,North Carolina
197709,5.49,precipitation,North Carolina
197710,5.68,precipitation,North Carolina
197711,5.00,precipitation,North Carolina
197712,3.97,precipitation,North Carolina
197801,7.18,precipitation,North Carolina
197802,1.00,precipitation,North Carolina
197803,4.97,precipitation,North Carolina
197804,4.63,precipitation,North Carolina
197805,4.65,precipitation,North Carolina
197806,4.11,precipitation,North Carolina
197807,5.15,precipitation,North Carolina
197808,5.39,precipitation,North Carolina
197809,1.80,precipitation,North Carolina
197810,1.25,precipitation,North Carolina
197811,3.98,precipitation,North Carolina
197812,3.73,precipitation,North Carolina
197901,6.22,precipitation,North Carolina
197902,5.13,precipitation,North Carolina
197903,4.64,precipitation,North Carolina
197904,4.70,precipitation,North Carolina
197905,5.83,precipitation,North Carolina
197906,4.88,precipitation,North Carolina
197907,4.80,precipitation,North Carolina
197908,3.24,precipitation,North Carolina
197909,10.04,precipitation,North Carolina
197910,2.20,precipitation,North Carolina
197911,5.47,precipitation,North Carolina
197912,1.58,precipitation,North Carolina
198001,4.53,precipitation,North Carolina
198002,1.71,precipitation,North Carolina
198003,7.30,precipitation,North Carolina
198004,3.42,precipitation,North Carolina
198005,4.06,precipitation,North Carolina
198006,3.73,precipitation,North Carolina
198007,3.90,precipitation,North Carolina
198008,2.37,precipitation,North Carolina
198009,4.53,precipitation,North Carolina
198010,3.84,precipitation,North Carolina
198011,2.73,precipitation,North Carolina
198012,2.19,precipitation,North Carolina
198101,1.05,precipitation,North Carolina
198102,3.47,precipitation,North Carolina
198103,2.61,precipitation,North Carolina
198104,1.49,precipitation,North Carolina
198105,4.88,precipitation,North Carolina
198106,4.06,precipitation,North Carolina
198107,5.44,precipitation,North Carolina
198108,6.18,precipitation,North Carolina
198109,2.75,precipitation,North Carolina
198110,2.87,precipitation,North Carolina
198111,1.03,precipitation,North Carolina
198112,4.93,precipitation,North Carolina
198201,5.55,precipitation,North Carolina
198202,5.79,precipitation,North Carolina
198203,2.67,precipitation,North Carolina
198204,3.76,precipitation,North Carolina
198205,3.79,precipitation,North Carolina
198206,6.26,precipitation,North Carolina
198207,5.30,precipitation,North Carolina
198208,3.65,precipitation,North Carolina
198209,3.26,precipitation,North Carolina
198210,4.07,precipitation,North Carolina
198211,3.29,precipitation,North Carolina
198212,4.77,precipitation,North Carolina
198301,3.04,precipitation,North Carolina
198302,6.03,precipitation,North Carolina
198303,7.19,precipitation,North Carolina
198304,5.27,precipitation,North Carolina
198305,3.68,precipitation,North Carolina
198306,4.06,precipitation,North Carolina
198307,2.26,precipitation,North Carolina
198308,2.84,precipitation,North Carolina
198309,3.42,precipitation,North Carolina
198310,3.73,precipitation,North Carolina
198311,4.50,precipitation,North Carolina
198312,6.85,precipitation,North Carolina
198401,3.33,precipitation,North Carolina
198402,5.79,precipitation,North Carolina
198403,5.65,precipitation,North Carolina
198404,4.42,precipitation,North Carolina
198405,6.75,precipitation,North Carolina
198406,2.99,precipitation,North Carolina
198407,8.69,precipitation,North Carolina
198408,3.53,precipitation,North Carolina
198409,4.00,precipitation,North Carolina
198410,1.83,precipitation,North Carolina
198411,2.07,precipitation,North Carolina
198412,1.90,precipitation,North Carolina
198501,3.82,precipitation,North Carolina
198502,4.82,precipitation,North Carolina
198503,1.52,precipitation,North Carolina
198504,1.46,precipitation,North Carolina
198505,3.34,precipitation,North Carolina
198506,3.82,precipitation,North Carolina
198507,7.22,precipitation,North Carolina
198508,6.32,precipitation,North Carolina
198509,2.22,precipitation,North Carolina
198510,4.24,precipitation,North Carolina
198511,6.95,precipitation,North Carolina
198512,1.27,precipitation,North Carolina
198601,1.71,precipitation,North Carolina
198602,2.01,precipitation,North Carolina
198603,2.69,precipitation,North Carolina
198604,0.98,precipitation,North Carolina
198605,3.04,precipitation,North Carolina
198606,2.55,precipitation,North Carolina
198607,4.24,precipitation,North Carolina
198608,8.45,precipitation,North Carolina
198609,1.68,precipitation,North Carolina
198610,3.10,precipitation,North Carolina
198611,3.96,precipitation,North Carolina
198612,4.48,precipitation,North Carolina
198701,6.26,precipitation,North Carolina
198702,4.30,precipitation,North Carolina
198703,4.51,precipitation,North Carolina
198704,4.78,precipitation,North Carolina
198705,2.15,precipitation,North Carolina
198706,4.20,precipitation,North Carolina
198707,3.30,precipitation,North Carolina
198708,4.24,precipitation,North Carolina
198709,6.29,precipitation,North Carolina
198710,1.16,precipitation,North Carolina
198711,3.50,precipitation,North Carolina
198712,3.30,precipitation,North Carolina
198801,3.59,precipitation,North Carolina
198802,2.09,precipitation,North Carolina
198803,2.37,precipitation,North Carolina
198804,3.51,precipitation,North Carolina
198805,3.67,precipitation,North Carolina
